BARGAINTERMS_PRICE;PRICE_SQM;FLOORS_MAX;ROOMSCOUNT;TOTALAREA;LIVINGAREA;KITCHENAREA;REPAIRTYPE;COMBINEDWCSCOUNT;SEPARATEWCSCOUNT;BALCONIESCOUNT;LOGGIASCOUNT
5500000;127907;;2;43;26,7;3,8;требуется ремонт;0;0;1;0
8500000;229730;;2;37;23;8;косметический ремонт;1;;1;
5450000;162857;18;1;35;15;10;дизайнерский ремонт;1;;;
12600000;114082;23;3;112,2;85;12,7;требуется ремонт;1;1;0;2
5150000;143056;17;1;36;;14,5;косметический ремонт;0;1;1;0
11200000;169697;;3;66;46;8;;;;0;0
9500000;118750;23;2;80;37;13;требуется ремонт;2;0;0;1
3450000;98571;;1;35;19,5;6;косметический ремонт;0;1;1;0
5300000;156805;10;1;33,8;15;8;;;;;
8200000;107595;;3;79;47;16;;;1;;1
7050000;123684;;2;57;30;12;косметический ремонт;0;0;2;0
11000000;144168;30;3;76,3;43,5;10,9;косметический ремонт;1;;1;
4650000;111511;;1;41,7;20,5;10;;;1;;1
6500000;130000;18;2;50;;;косметический ремонт;;;;1
11500000;123330;23;3;100;60;20;требуется ремонт;0;2;0;2
9200000;110843;23;2;83;52;13;;;;;1
9100000;234097;26;1;39,3;11,2;18;евроремонт;1;;1;
8400000;332016;26;;25,3;12,1;6;косметический ремонт;1;;;
4200000;123529;;1;34;;6;евроремонт;0;1;1;0
8500000;237430;26;1;35,8;;;косметический ремонт;1;0;0;0
9800000;134986;19;3;72,6;12;42;евроремонт;2;;;1
8000000;116448;23;1;68,7;27,3;16,3;;2;;;1
5100000;135638;18;1;37,6;;10,5;косметический ремонт;1;0;1;0
6650000;214516;8;1;31;20;6;евроремонт;1;;1;
11950000;115634;22;3;108,1;66,6;12,7;;2;;2;
11500000;136905;23;2;84;38;17;;1;;;1
7450000;131579;23;1;57;22;17;;;1;;1
11150000;132738;22;2;84;65;17;;;1;;1
8500000;188889;;2;45;30;6;;;;;
8200000;149362;30;2;54,9;22,9;17;требуется ремонт;1;1;1;
3800000;123377;23;;30,8;;;косметический ремонт;0;0;0;0
11300000;98261;22;3;115;77;12;;2;2;2;1
10700000;191071;23;3;56;40;6;евроремонт;1;;1;
9600000;188825;;2;51,9;30;8,5;косметический ремонт;0;1;;
5700000;162857;;1;35;17;9;требуется ремонт;;;1;
4800000;128205;17;1;39;19;9,5;косметический ремонт;;;;1
6350000;171622;18;1;37;12;15;евроремонт;1;;1;
5270000;125476;5;1;42;;16;косметический ремонт;0;1;1;0
12950000;80938;;4;160;68;15;евроремонт;1;0;1;0
7400000;111594;20;2;69;37;17;;0;1;0;1
4600000;125660;18;1;39,79;;;требуется ремонт;0;0;1;0
8270000;223514;22;1;37;16;10;;;;;
11300000;93932;23;3;120,3;78;12,7;требуется ремонт;0;1;0;1
6000000;121457;9;1;49,4;26;13;требуется ремонт;1;;1;
4800000;121212;;2;47;31,8;9;косметический ремонт;0;1;1;0
6750000;104814;;3;64,4;38;7,5;требуется ремонт;0;1;1;0
6200000;193750;;1;32;11,5;9,7;евроремонт;1;0;0;1
6000000;111524;;3;53,8;36,7;6;косметический ремонт;0;1;0;1
6980000;88354;;3;79;;;;;;;
10200000;121429;23;2;84;38;17;;;;;
10200000;121429;23;2;84;38;17;;;;;
9150000;254167;26;1;36;10;17;требуется ремонт;1;;;1
8500000;227273;;2;37,4;22,7;7,7;требуется ремонт;1;0;1;0
6500000;153664;5;1;42,3;12,3;15,6;дизайнерский ремонт;0;0;0;0
15160000;114286;23;4;140;84;13;;;1;1;1
6270000;117196;;2;53,5;;11;требуется ремонт;0;1;1;0
5750000;104464;;2;56;34;8;;0;1;0;0
6100000;181009;26;1;33,7;11,6;10,7;косметический ремонт;1;;;
9200000;108235;23;3;85;46;10;требуется ремонт;2;;;1
4040000;143438;;1;32;20;5,5;косметический ремонт;1;0;1;0
4300000;134796;;1;31,9;15,3;8;требуется ремонт;;1;1;
4970000;139216;10;1;35,7;14,8;9,1;требуется ремонт;0;0;;
6490000;108167;;2;63;50;10;евроремонт;0;0;1;0
5600000;167647;18;1;37;15;10;дизайнерский ремонт;1;0;0;1
8000000;115942;23;1;69;27;16;;;;;
